RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,,,,
31,Andhra Pradesh,KADAPA,2012,Kharif     ,Ragi,25,35,,,,
32,Odisha,NABARANGPUR,2012,Whole Year ,Garlic,82,263,,,,
33,Haryana,BHIWANI,2016,Kharif     ,Groundnut,50,100,,,,
34,Bihar,SHEOHAR,2016,Rabi       ,Rapeseed &Mustard,251,5,,,,
35,Tamil Nadu,PUDUKKOTTAI,2016,Whole Year ,Sunflower,106,141,,,,
36,Bihar,MADHEPURA,2008,Rabi       ,Peas & beans (Pulses),1232,1279,,,,
37,Chhattisgarh,SUKMA,2021,Kharif     ,Arhar/Tur,375,229,,,,
38,Maharashtra,PARBHANI,2012,Kharif     ,Arhar/Tur,63900,21500,,,,
39,Andhra Pradesh,SRIKAKULAM,2006,Kharif     ,Arhar/Tur,1800,1100,,,,
40,Andhra Pradesh,EAST GODAVARI,2021,Kharif     ,Lemon,810,4406,,,,
41,Karnataka,BIJAPUR,2010,Kharif     ,Other Kharif pulses,7620,2629,,,,
42,Bihar,NAWADA,2008,Whole Year ,Onion,358,4976,,,,
43,Haryana,REWARI,2020,Kharif     ,Groundnut,46,51,,,,
44,Uttar Pradesh,PILIBHIT,2021,Kharif     ,Maize,281,570,,,,
45,Maharashtra,BULDHANA,2014,Kharif     ,Sesamum,5900,1300,,,,
46,West Bengal,DINAJPUR UTTAR,2015,Rabi       ,Urad,671,463,,,,
47,Uttar Pradesh,GONDA,2011,Kharif     ,Sunflower,8,13,,,,
48,Uttar Pradesh,PILIBHIT,2009,Kharif     ,Moong(Green Gram),1,0.1,,,,
49,Andhra Pradesh,WEST GODAVARI,2011,Whole Year ,Tomato,310,3058,,,,
50,Punjab,JALANDHAR,2007,Kharif     ,Moong(Green Gram),100,100,,,,
51,Chhattisgarh,RAIGARH,2016,Rabi       ,Wheat,2120,2995,,,,
52,Rajasthan,ALWAR,2010,Rabi       ,Barley,17855,56537,,,,
53,Uttar Pradesh,RAE BARELI,2005,Rabi       ,Sunflower,85,130,,,,
54,Telangana ,RANGAREDDI,2021,Rabi       ,Rice,17986,40163,,,,
55,Haryana,SIRSA,2010,Whole Year ,Other Fresh Fruits,2362,22400,,,,
56,Kerala,KASARAGOD,2018,Autumn     ,Rice,2283.99,5824.31,,,,
57,Bihar,GAYA,2012,Rabi       ,Rapeseed &Mustard,530,371,,,,
58,Uttar Pradesh,KAUSHAMBI,2018,Rabi       ,Onion,180,3313,,,,
59,Madhya Pradesh,SEONI,2010,Kharif     ,Dry ginger,313,362,,,,
60,Haryana,KAITHAL,2010,Rabi       ,Rapeseed &Mustard,1877,3000,,,,
61,Nagaland,DIMAPUR,2017,Rabi       ,Barley,60,90,,,,
62,Maharashtra,LATUR,2013,Kharif     ,Sugarcane,18300,1415200,,,,
63,Karnataka,CHITRADURGA,2007,Rabi       ,Rapeseed &Mustard,195,42,,,,
64,Rajasthan,CHITTORGARH,2006,Whole Year ,Potato,27,98,,,,
65,Uttar Pradesh,DEORIA,2005,Kharif     ,Onion,317,3264,,,,
66,Maharashtra,NANDED,2017,Kharif     ,Rice,5600,1500,,,,
67,Gujarat,PATAN,2014,Whole Year ,Dry chillies,300,200,,,,
68,Telangana ,MEDAK,2014,Kharif     ,Small millets,4,2,,,,
69,Kerala,MALAPPURAM,2011,Whole Year ,Banana,8963,71210,,,,
70,Kerala,IDUKKI,2018,Autumn     ,Rice,418.33,1083.47,,,,
71,West Bengal,NADIA,2011,Rabi       ,Groundnut,3263,5218,,,,
72,Maharashtra,GONDIA,2007,Rabi       ,Gram,21200,9900,,,,
73,Assam,DIMA HASAO,2018,Whole Year ,Onion,29,48,,,,
74,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Castor seed,351,205,,,,
75,Maharashtra,WASHIM,2014,Kharif     ,Sesamum,1800,300,,,,
76,Uttar Pradesh,AZAMGARH,2016,Rabi       ,Rapeseed &Mustard,1746,1975,,,,
77,Odisha,BOUDH,2006,Summer     ,Wheat,27,29,,,,
78,Rajasthan,KOTA,2009,Rabi       ,Gram,17195,16807,,,,
79,Odisha,KENDRAPARA,2011,Rabi       ,Sunflower,40,30,,,,
80,Madhya Pradesh,RAISEN,2014,Rabi       ,Wheat,178364,311314,,,,
81,Meghalaya,WEST GARO HILLS,2007,Whole Year ,Arecanut,2424,3384,,,,
82,Rajasthan,BUNDI,2009,Rabi       ,Gram,25967,20413,,,,
83,Jharkhand,GODDA,2011,Rabi       ,Gram,1181.77,1114.41,,,,
84,Uttar Pradesh,RAMPUR,2018,Summer     ,Rice,5170,9818,,,,
85,Odisha,KENDRAPARA,2006,Summer     ,Urad,629,179,,,,
86,Uttar Pradesh,SIDDHARTH NAGAR,2010,Summer     ,Urad,1,1,,,,
87,Uttar Pradesh,FAIZABAD,2018,Kharif     ,Small millets,70,58,,,,
88,West Bengal,NADIA,2018,Rabi       ,Potato,7073,193100,,,,
89,Tamil Nadu,DINDIGUL,2019,Whole Year ,Coconut ,29478,574900000,,,,
90,Karnataka,BELLARY,2017,Whole Year ,Sugarcane,2464,238762,,,,
91,Chhattisgarh,BEMETARA,2021,Rabi       ,Wheat,11859,11412,,,,
92,Nagaland,TUENSANG,2007,Kharif     ,Soyabean,1700,1900,,,,
93,Assam,GOALPARA,2010,Whole Year ,Sugarcane,102,3715,,,,
94,Tamil Nadu,TIRUVANNAMALAI,2018,Kharif     ,Rice,125490,357692,,,,
95,Andhra Pradesh,ANANTAPUR,2019,Kharif     ,Arhar/Tur,51728,4293,,,,
96,Assam,TINSUKIA,2014,Kharif     ,Niger seed,65,31,,,,
97,Karnataka,CHITRADURGA,2005,Rabi       ,Wheat,518,381,,,,
98,Odisha,SUNDARGARH,2018,Summer     ,Wheat,806,1412.7,,,,
99,Odisha,BARGARH,2011,Kharif     ,Sesamum,1054,184,,,,
100,Uttar Pradesh,HATHRAS,2006,Kharif     ,Bajra,36744,53351,,,,
101,Uttar Pradesh,JALAUN,2011,Kharif     ,Moong(Green Gram),1180,221,,,,
102,Andhra Pradesh,ANANTAPUR,2007,Rabi       ,Linseed,12,1,,,,
103,Uttar Pradesh,SANT KABEER NAGAR,2007,Rabi       ,Rapeseed &Mustard,2043,2343,,,,
104,Uttarakhand,RUDRA PRAYAG,2016,Kharif     ,Ragi,6504,10941,,,,
105,Telangana ,RANGAREDDI,2009,Kharif     ,Maize,8828,17877,,,,
106,Uttar Pradesh,FAIZABAD,2021,Kharif     ,Sesamum,60,9,,,,
107,Madhya Pradesh,MORENA,2007,Rabi       ,Linseed,20,11,,,,
108,Uttar Pradesh,BALRAMPUR,2014,Rabi       ,Rapeseed &Mustard,16802,16315,,,,
109,Himachal Pradesh,KULLU,2013,Whole Year ,Potato,1300,6535,,,,
110,Uttar Pradesh,KUSHI NAGAR,2010,Summer     ,Onion,36,403,,,,
111,Odisha,JAJAPUR,2006,Winter     ,Horse-gram,2586,1190,,,,
112,Gujarat,JAMNAGAR,2019,Whole Year ,Garlic,9600,57700,,,,
113,Tamil Nadu,COIMBATORE,2006,Kharif     ,Ragi,510,1271,,,,
114,Telangana ,RANGAREDDI,2015,Rabi       ,Onion,2000,36000,,,,
115,Maharashtra,BULDHANA,2015,Rabi       ,Safflower,42,29,,,,
116,Tamil Nadu,ERODE,2007,Kharif     ,Sunflower,600,689,,,,
117,Madhya Pradesh,KATNI,2011,Whole Year ,Brinjal,303,0,,,,
118,Rajasthan,KARAULI,2007,Rabi       ,Linseed,16,10,,,,
119,Odisha,DEOGARH,2019,Summer     ,Urad,5,1.9,,,,
120,Bihar,PATNA,2015,Winter     ,Rice,86036,90805,,,,
121,Uttar Pradesh,CHANDAULI,2018,Kharif     ,Guar seed,19,16,,,,
122,Madhya Pradesh,RAISEN,2013,Kharif     ,Arhar/Tur,22280,14082,,,,
123,Uttar Pradesh,MAHARAJGANJ,2011,Rabi       ,Rapeseed &Mustard,4454,4176,,,,
124,Bihar,KHAGARIA,2005,Kharif     ,Other Kharif pulses,369,231,,,,
125,Karnataka,CHITRADURGA,2007,Kharif     ,Niger seed,466,137,,,,
126,Uttar Pradesh,BAREILLY,2008,Rabi       ,Gram,123,105,,,,
127,Uttar Pradesh,KANPUR DEHAT,2011,Kharif     ,Sunflower,16,27,,,,
128,Rajasthan,DHOLPUR,2018,Whole Year ,Sannhamp,3,3,,,,
129,Rajasthan,JHUNJHUNU,2006,Kharif     ,Bajra,247217,225383,,,,
130,Uttar Pradesh,KANPUR DEHAT,2015,Rabi       ,Masoor,500,303,,,,
131,Karnataka,UTTAR KANNAD,2015,Whole Year ,Coconut ,7415,38738,,,,
132,Arunachal Pradesh,UPPER SIANG,2010,Kharif     ,Maize,950,1100,,,,
133,Tamil Nadu,RAMANATHAPURAM,2018,Kharif     ,Horse-gram,1,0,,,,
134,Mizoram,KOLASIB,2013,Kharif     ,Groundnut,3,2,,,,
135,Himachal Pradesh,BILASPUR,2006,Kharif     ,Small millets,1,0,,,,
136,Bihar,KATIHAR,2012,Whole Year ,Sweet potato,44,537,,,,
137,Uttarakhand,NAINITAL,2013,Rabi       ,Masoor,454,232,,,,
138,Rajasthan,AJMER,2009,Kharif     ,Moong(Green Gram),61145,17827,,,,
139,Odisha,GAJAPATI,2015,Winter     ,Groundnut,1,1,,,,
140,Madhya Pradesh,VIDISHA,2009,Rabi       ,Gram,204384,206837,,,,
141,Haryana,SIRSA,2017,Rabi       ,Barley,9235,30000,,,,
142,Karnataka,BANGALORE RURAL,2013,Whole Year ,Tapioca,10,73,,,,
143,Odisha,BOUDH,2017,Autumn     ,Maize,360,279.7,,,,
144,Chhattisgarh,KANKER,2016,Rabi       ,Moong(Green Gram),93,26,,,,
145,Maharashtra,KOLHAPUR,2020,Kharif     ,Castor seed,600,100,,,,
146,Karnataka,BIDAR,2015,Kharif     ,Soyabean,14782,15237,,,,
147,Manipur,TAMENGLONG,2011,Whole Year ,Jack Fruit,5,23,,,,
148,Meghalaya,WEST KHASI HILLS,2020,Rabi       ,Tobacco,39,56,,,,
149,Andhra Pradesh,VIZIANAGARAM,2020,Kharif     ,Pome Granet,5,67,,,,
150,Odisha,KENDUJHAR,2009,Rabi       ,Masoor,1970,770,,,,
151,Haryana,PANCHKULA,2016,Rabi       ,Gram,733,1000,,,,
152,Uttar Pradesh,ALLAHABAD,2008,Kharif     ,Maize,211,447,,,,
153,Karnataka,MYSORE,2005,Kharif     ,Ragi,90302,133034,,,,
154,Madhya Pradesh,CHHINDWARA,2017,Whole Year ,Rice,18751,14240,,,,
155,Maharashtra,DHULE,2021,Rabi       ,Gram,42300,53260,,,,
156,Odisha,SUNDARGARH,2018,Winter     ,Rice,118000,108000,,,,
157,Uttarakhand,HARIDWAR,2009,Whole Year ,Onion,9,90,,,,
158,Bihar,SHEIKHPURA,2020,Rabi       ,Maize,68,233,,,,
159,Haryana,SONIPAT,2013,Whole Year ,Sugarcane,12781,860000,,,,
160,Uttar Pradesh,BAHRAICH,2006,Whole Year ,Onion,443,5349,,,,
161,Madhya Pradesh,BURHANPUR,2013,Whole Year ,Onion,357,12442,,,,
162,Karnataka,KOLAR,2020,Kharif     ,Small millets,70,34,,,,
163,Uttar Pradesh,SANT RAVIDAS NAGAR,2022,Summer     ,Moong(Green Gram),27,18,,,,
164,Uttarakhand,PITHORAGARH,2022,Rabi       ,Rapeseed &Mustard,827,705,,,,
165,Madhya Pradesh,GWALIOR,2019,Kharif     ,Barley,936,3421,,,,
166,Haryana,PANCHKULA,2005,Rabi       ,Other  Rabi pulses,7000,4000,,,,
167,Tamil Nadu,DINDIGUL,2011,Kharif     ,Groundnut,9461,17197,,,,
168,Madhya Pradesh,JABALPUR,2011,Whole Year ,Garlic,17,87,,,,
169,Madhya Pradesh,DATIA,2019,Rabi       ,Rapeseed &Mustard,16032,13608,,,,
170,Assam,UDALGURI,2022,Kharif     ,Tapioca,297,2820,,,,
171,West Bengal,DARJEELING,2014,Rabi       ,Safflower,5,3,,,,
172,Odisha,JAGATSINGHAPUR,2016,Winter     ,Horse-gram,806,378.8,,,,
173,Uttar Pradesh,JHANSI,2020,Kharif     ,Sesamum,106791,23067,,,,
174,Assam,DHUBRI,2015,Kharif     ,Maize,95,56,,,,
175,Uttar Pradesh,KANNAUJ,2020,Kharif     ,Rice,17275,52257,,,,
176,Odisha,CUTTACK,2013,Winter     ,Rapeseed &Mustard,254,38.9,,,,
177,Punjab,HOSHIARPUR,2012,Kharif     ,Urad,400,100,,,,
178,Maharashtra,AKOLA,2010,Whole Year ,Sugarcane,400,28000,,,,
179,Puducherry,PONDICHERRY,2022,Summer     ,Ragi,32,58,,,,
180,Jharkhand,PAKUR,2013,Autumn     ,Maize,2459.7,2115.34,,,,
181,Madhya Pradesh,BALAGHAT,2018,Whole Year ,Banana,4,190,,,,
182,Tamil Nadu,VIRUDHUNAGAR,2015,Whole Year ,Small millets,1841,963,,,,
183,Himachal Pradesh,CHAMBA,2018,Rabi       ,Barley,3756,3925,,,,
184,Haryana,PANCHKULA,2020,Rabi       ,Wheat,16823,59000,,,,
185,Rajasthan,JAISALMER,2012,Kharif     ,Jowar,4077,1892,,,,
186,Rajasthan,CHURU,2011,Kharif     ,Jowar,3,2,,,,
187,Tamil Nadu,THENI,2010,Kharif     ,Korra,37,16,,,,
188,Madhya Pradesh,SHEOPUR,2006,Rabi       ,Linseed,2600,1200,,,,
189,Assam,UDALGURI,2015,Whole Year ,Onion,305,762,,,,
190,Tamil Nadu,COIMBATORE,2008,Whole Year ,Tobacco,601,1040,,,,
191,Bihar,KATIHAR,2016,Whole Year ,Turmeric,11,14,,,,
192,West Bengal,24 PARAGANAS SOUTH,2019,Rabi       ,Potato,7969,188767,,,,
193,Telangana ,MEDAK,2011,Whole Year ,Coriander,3011,825,,,,
194,Odisha,SONEPUR,2013,Winter     ,Potato,30,169.1,,,,
195,Assam,KARBI ANGLONG,2015,Whole Year ,Dry ginger,1894,13321,,,,
196,Madhya Pradesh,SEHORE,2006,Kharif     ,Rice,1700,1200,,,,
197,Uttar Pradesh,BAGHPAT,2010,Kharif     ,Moong(Green Gram),6,4,,,,
198,Uttar Pradesh,JAUNPUR,2006,Whole Year ,Tobacco,130,806,,,,
199,Uttar Pradesh,ETAWAH,2007,Whole Year ,Peas & beans (Pulses),4353,8614,,,,
200,Haryana,YAMUNANAGAR,2015,Whole Year ,Onion,425,11400,,,,
201,Assam,UDALGURI,2021,Rabi       ,Ginger,629,6208,,,,
202,Madhya Pradesh,CHHINDWARA,2016,Kharif     ,Cotton(lint),28144,15998,,,,
